Episodio;Precision
20;0.469
40;0.438
60;0.625
80;0.438
100;0.719
120;0.656
140;0.5
160;0.281
180;0.5
200;0.344
220;0.438
240;0.5
260;0.375
280;0.469
300;0.531
320;0.594
340;0.438
360;0.656
380;0.594
400;0.531
420;0.406
440;0.531
460;0.312
480;0.5
500;0.5
520;0.5
540;0.469
560;0.438
580;0.438
600;0.406
620;0.656
640;0.531
660;0.531
680;0.406
700;0.438
720;0.5
740;0.5
760;0.344
780;0.688
800;0.625
820;0.719
840;0.5
860;0.469
880;0.469
900;0.625
920;0.594
940;0.5
960;0.344
980;0.406
1000;0.562
1020;0.562
1040;0.281
1060;0.656
1080;0.594
1100;0.656
1120;0.719
1140;0.25
1160;0.531
1180;0.469
1200;0.625
1220;0.594
1240;0.625
1260;0.469
1280;0.562
1300;0.25
1320;0.562
1340;0.5
1360;0.406
1380;0.562
1400;0.719
1420;0.594
1440;0.625
1460;0.438
1480;0.469
1500;0.406
1520;0.406
1540;0.562
1560;0.375
1580;0.594
1600;0.5
1620;0.5
1640;0.625
1660;0.469
1680;0.281
1700;0.5
1720;0.375
1740;0.5
1760;0.5
1780;0.469
1800;0.344
1820;0.594
1840;0.531
1860;0.406
1880;0.531
1900;0.406
1920;0.594
1940;0.531
1960;0.688
1980;0.469
2000;0.594
