Episodio,Precision
20,[0.28125]
40,[0.1875]
60,[0.15625]
80,[0.21875]
100,[0.125]
120,[0.21875]
140,[0.25]
160,[0.28125]
180,[0.1875]
200,[0.21875]
220,[0.28125]
240,[0.125]
260,[0.34375]
280,[0.3125]
300,[0.21875]
320,[0.21875]
340,[0.28125]
360,[0.15625]
380,[0.28125]
400,[0.1875]
420,[0.1875]
440,[0.15625]
460,[0.375]
480,[0.25]
500,[0.375]
520,[0.09375]
540,[0.28125]
560,[0.21875]
580,[0.375]
600,[0.21875]
620,[0.21875]
640,[0.25]
660,[0.40625]
680,[0.125]
700,[0.125]
720,[0.1875]
740,[0.1875]
760,[0.09375]
780,[0.1875]
800,[0.09375]
820,[0.25]
840,[0.15625]
860,[0.09375]
880,[0.1875]
900,[0.125]
920,[0.0625]
940,[0.03125]
960,[0.09375]
980,[0.125]
1000,[0.09375]
