Episodio,Perdida
20,[3483.1806640625]
40,[5540.05517578125]
60,[4501.1875]
80,[5224.05712890625]
100,[3801.798095703125]
120,[4632.25]
140,[6242.9921875]
160,[6074.234375]
180,[5873.28515625]
200,[6724.78125]
220,[6772.5654296875]
240,[7084.6025390625]
260,[6117.4140625]
280,[5432.27734375]
300,[6800.255859375]
320,[7033.30126953125]
340,[4804.4541015625]
360,[6127.91357421875]
380,[8922.771484375]
400,[6620.54150390625]
420,[6700.40234375]
440,[5785.201171875]
460,[7353.5205078125]
480,[6684.4033203125]
500,[7172.8671875]
520,[6124.400390625]
540,[6755.51513671875]
560,[9597.041015625]
580,[7327.38134765625]
600,[8533.30078125]
620,[6996.998046875]
640,[7384.44140625]
660,[7833.1904296875]
680,[7671.22314453125]
700,[7098.89453125]
720,[7761.076171875]
740,[8202.00390625]
760,[7889.02197265625]
780,[6733.80419921875]
800,[7281.70703125]
820,[7758.46044921875]
840,[7601.30615234375]
860,[7299.8505859375]
880,[7975.94384765625]
900,[7804.86279296875]
920,[8712.5517578125]
940,[7359.95947265625]
960,[7313.671875]
980,[7085.97216796875]
1000,[8657.57421875]
