Episodio;Distancia;Tipo
1;13.434;Tiempo
2;12.442;Tiempo
3;6.886;Tiempo
4;12.426;Tiempo
5;4.811;Tiempo
6;25.438;Colision
7;19.622;Tiempo
8;9.416;Tiempo
9;1.338;Tiempo
10;4.922;Tiempo
11;2.324;Tiempo
12;23.403;Tiempo
13;6.731;Tiempo
14;4.612;Tiempo
15;3.995;Tiempo
16;2.032;Tiempo
17;8.52;Tiempo
18;0.937;Objetivo
19;9.024;Tiempo
20;19.612;Tiempo
21;10.585;Colision
22;5.667;Tiempo
23;9.074;Tiempo
24;9.022;Tiempo
25;18.721;Tiempo
26;0.958;Objetivo
27;8.745;Tiempo
28;5.119;Tiempo
29;0.912;Objetivo
30;7.573;Tiempo
31;5.522;Tiempo
32;22.09;Tiempo
33;8.391;Tiempo
34;17.674;Tiempo
35;12.023;Tiempo
36;8.046;Tiempo
37;16.877;Tiempo
38;14.941;Tiempo
39;9.681;Tiempo
40;15.919;Tiempo
41;7.019;Tiempo
42;1.556;Tiempo
43;3.094;Tiempo
44;4.901;Tiempo
45;12.165;Tiempo
46;10.408;Tiempo
47;11.375;Tiempo
48;15.911;Tiempo
49;7.94;Colision
50;8.557;Colision
51;14.114;Tiempo
52;11.104;Tiempo
53;0.959;Objetivo
54;4.688;Tiempo
55;12.292;Tiempo
56;8.548;Tiempo
57;6.668;Tiempo
58;16.69;Colision
59;5.556;Tiempo
60;14.908;Tiempo
61;20.791;Tiempo
62;1.442;Tiempo
63;21.006;Tiempo
64;14.908;Colision
65;6.142;Tiempo
66;4.62;Tiempo
67;4.137;Tiempo
68;3.635;Tiempo
69;4.412;Tiempo
70;3.453;Tiempo
71;18.916;Tiempo
72;7.096;Tiempo
73;9.641;Tiempo
74;7.816;Colision
75;11.38;Tiempo
76;11.094;Tiempo
77;12.779;Tiempo
78;4.738;Tiempo
79;12.916;Tiempo
80;3.907;Tiempo
81;11.231;Colision
82;8.794;Tiempo
83;6.004;Tiempo
84;10.068;Tiempo
85;3.193;Tiempo
86;7.532;Tiempo
87;4.527;Tiempo
88;22.586;Tiempo
89;0.99;Objetivo
90;4.637;Tiempo
91;14.759;Tiempo
92;10.891;Tiempo
93;14.539;Tiempo
94;18.453;Tiempo
95;7.457;Tiempo
96;18.767;Tiempo
97;14.293;Tiempo
98;1.247;Tiempo
99;16.91;Tiempo
100;11.593;Tiempo
101;13.38;Colision
102;8.221;Tiempo
103;5.852;Tiempo
104;11.178;Tiempo
105;4.859;Tiempo
106;11.847;Tiempo
107;21.721;Tiempo
108;14.666;Tiempo
109;13.0;Tiempo
110;4.004;Tiempo
111;6.12;Tiempo
112;19.532;Tiempo
113;14.492;Tiempo
114;8.29;Tiempo
115;14.072;Tiempo
116;14.711;Tiempo
117;13.07;Tiempo
118;16.377;Colision
119;28.431;Tiempo
120;5.349;Tiempo
121;10.629;Tiempo
122;17.492;Colision
123;4.477;Colision
124;21.497;Tiempo
125;19.726;Tiempo
126;1.967;Tiempo
127;13.554;Tiempo
128;28.103;Tiempo
129;14.743;Tiempo
130;11.321;Tiempo
131;10.467;Tiempo
132;12.361;Tiempo
133;22.243;Tiempo
134;2.564;Tiempo
135;20.323;Tiempo
136;14.281;Tiempo
137;25.376;Tiempo
138;14.84;Tiempo
139;15.535;Tiempo
140;19.892;Tiempo
141;14.327;Tiempo
142;11.387;Tiempo
143;13.227;Tiempo
144;12.21;Tiempo
145;25.727;Tiempo
146;9.227;Tiempo
147;19.353;Tiempo
148;16.155;Colision
149;7.344;Tiempo
150;11.039;Colision
151;8.583;Tiempo
152;12.862;Tiempo
153;12.03;Tiempo
154;13.367;Tiempo
155;1.531;Tiempo
156;17.006;Tiempo
157;9.565;Tiempo
158;14.158;Tiempo
159;21.491;Tiempo
160;14.032;Tiempo
161;7.207;Tiempo
162;7.981;Tiempo
163;8.405;Tiempo
164;23.986;Tiempo
165;13.949;Tiempo
166;13.025;Tiempo
167;28.59;Tiempo
168;11.421;Tiempo
169;12.823;Tiempo
170;15.466;Tiempo
171;13.246;Tiempo
172;13.672;Tiempo
173;9.982;Tiempo
174;10.867;Tiempo
175;13.317;Tiempo
176;16.704;Colision
177;18.51;Tiempo
178;10.267;Tiempo
179;19.661;Tiempo
180;8.803;Tiempo
181;9.346;Tiempo
182;23.071;Tiempo
183;16.209;Tiempo
184;19.128;Tiempo
185;14.064;Tiempo
186;8.847;Tiempo
187;25.632;Tiempo
188;15.97;Tiempo
189;26.707;Tiempo
190;6.625;Tiempo
191;22.616;Tiempo
192;22.167;Tiempo
193;14.542;Tiempo
194;11.826;Tiempo
195;2.336;Tiempo
196;16.501;Tiempo
197;12.675;Tiempo
198;19.345;Tiempo
199;21.209;Tiempo
200;12.604;Tiempo
201;21.377;Tiempo
202;17.296;Tiempo
203;4.626;Colision
204;14.006;Tiempo
205;4.736;Tiempo
206;21.541;Tiempo
207;10.943;Tiempo
208;28.452;Tiempo
209;28.057;Tiempo
210;5.145;Tiempo
211;11.426;Tiempo
212;15.4;Tiempo
213;15.12;Tiempo
214;25.992;Tiempo
215;10.694;Colision
216;11.184;Colision
217;16.417;Colision
218;11.615;Tiempo
219;20.397;Tiempo
220;5.592;Tiempo
221;13.124;Tiempo
222;11.666;Tiempo
223;21.401;Tiempo
224;18.984;Tiempo
225;7.783;Tiempo
226;15.254;Tiempo
227;27.935;Tiempo
228;17.589;Tiempo
229;16.121;Tiempo
230;15.845;Tiempo
231;8.76;Tiempo
232;14.023;Tiempo
233;9.63;Tiempo
234;19.381;Tiempo
235;15.445;Tiempo
236;9.465;Tiempo
237;19.048;Tiempo
238;12.178;Tiempo
239;20.236;Colision
240;8.05;Tiempo
241;15.013;Tiempo
242;13.676;Tiempo
243;13.386;Colision
244;16.25;Tiempo
245;20.654;Tiempo
246;13.489;Tiempo
247;16.308;Tiempo
248;18.736;Tiempo
249;19.526;Tiempo
250;12.06;Tiempo
251;21.113;Tiempo
252;18.061;Tiempo
253;10.409;Tiempo
254;8.947;Tiempo
255;16.586;Tiempo
256;16.864;Tiempo
257;24.023;Tiempo
258;19.026;Tiempo
259;11.247;Tiempo
260;18.007;Tiempo
261;19.866;Tiempo
262;23.902;Tiempo
263;14.573;Tiempo
264;12.295;Tiempo
265;10.872;Tiempo
266;16.659;Colision
267;8.281;Tiempo
268;4.262;Tiempo
269;18.032;Tiempo
270;6.79;Tiempo
271;17.853;Tiempo
272;15.447;Tiempo
273;11.486;Tiempo
274;25.461;Tiempo
275;27.922;Tiempo
276;13.742;Tiempo
277;21.049;Tiempo
278;14.097;Colision
279;9.776;Colision
280;11.625;Colision
281;12.065;Colision
282;15.19;Tiempo
283;28.91;Tiempo
284;10.491;Tiempo
285;5.461;Tiempo
286;5.435;Tiempo
287;7.641;Tiempo
288;28.021;Tiempo
289;16.502;Tiempo
290;11.434;Tiempo
291;17.494;Tiempo
292;19.392;Tiempo
293;7.297;Tiempo
294;7.807;Tiempo
295;27.334;Tiempo
296;25.709;Tiempo
297;14.249;Tiempo
298;17.809;Tiempo
299;13.11;Tiempo
300;13.588;Tiempo
301;19.788;Tiempo
302;26.097;Tiempo
303;10.986;Tiempo
304;13.828;Tiempo
305;14.55;Tiempo
306;18.916;Tiempo
307;11.785;Tiempo
308;22.223;Tiempo
309;28.681;Tiempo
310;13.781;Colision
311;12.214;Tiempo
312;25.7;Tiempo
313;15.097;Tiempo
314;10.47;Tiempo
315;17.559;Tiempo
316;22.602;Tiempo
317;6.297;Tiempo
318;14.566;Tiempo
319;14.475;Tiempo
320;20.703;Tiempo
321;17.395;Tiempo
322;21.481;Tiempo
323;12.336;Colision
324;9.908;Tiempo
325;17.166;Tiempo
326;28.777;Tiempo
327;25.606;Tiempo
328;15.091;Tiempo
329;14.887;Tiempo
330;16.631;Tiempo
331;24.984;Tiempo
332;12.364;Tiempo
333;26.513;Tiempo
334;14.18;Tiempo
335;22.273;Tiempo
336;8.762;Tiempo
337;14.25;Tiempo
338;18.46;Tiempo
339;16.411;Tiempo
340;24.661;Tiempo
341;17.674;Tiempo
