Episodio;Perdida
20;19917.689
40;17802.198
60;13944.229
80;16873.923
100;15496.903
120;11561.846
140;13475.457
160;13452.08
180;17907.674
200;14893.589
220;13032.673
240;15158.735
260;16878.752
280;18106.103
300;15470.1
320;20435.002
340;15327.94
360;18158.812
380;15880.955
400;14931.711
420;13478.822
440;12862.761
460;16554.168
480;13932.965
500;14720.819
520;13634.007
540;16604.941
560;13224.766
580;17925.548
600;15080.622
620;14624.07
640;12596.135
660;13044.899
680;15254.384
700;15179.203
720;17333.81
740;16907.777
760;14842.9
780;14249.206
800;16627.417
820;13033.702
840;13605.379
860;15662.529
880;14288.67
900;13799.137
920;15699.381
940;13998.999
960;15274.77
980;14645.246
1000;11024.796
