Episodio;Precision
20;0.594
40;0.422
60;0.578
80;0.688
100;0.5
120;0.719
140;0.656
160;0.562
180;0.562
200;0.594
220;0.453
240;0.547
260;0.625
280;0.578
300;0.594
320;0.562
340;0.531
360;0.391
380;0.672
400;0.609
420;0.594
440;0.547
460;0.719
480;0.5
500;0.625
520;0.609
540;0.656
560;0.688
580;0.641
600;0.672
620;0.594
640;0.562
660;0.641
680;0.625
700;0.141
720;0.062
740;0.703
760;0.734
780;0.594
800;0.578
820;0.609
840;0.688
860;0.75
880;0.438
900;0.484
920;0.641
940;0.828
960;0.703
980;0.609
1000;0.547
