Episodio;Distancia;Tipo
1;23.079;Tiempo
2;29.443;Tiempo
3;29.736;Tiempo
4;26.518;Tiempo
5;27.752;Tiempo
6;28.571;Tiempo
7;28.256;Tiempo
8;29.111;Tiempo
9;28.013;Tiempo
10;28.837;Tiempo
11;28.325;Tiempo
12;27.395;Tiempo
13;28.083;Tiempo
14;29.691;Tiempo
15;28.961;Tiempo
16;28.778;Tiempo
17;28.133;Tiempo
18;27.494;Tiempo
19;27.501;Tiempo
20;28.253;Tiempo
21;29.509;Tiempo
22;29.449;Tiempo
23;28.357;Tiempo
24;28.978;Tiempo
25;29.743;Tiempo
26;29.167;Tiempo
27;25.981;Tiempo
28;28.94;Tiempo
29;29.986;Tiempo
30;29.299;Tiempo
31;27.624;Tiempo
32;29.478;Tiempo
33;29.246;Tiempo
34;29.214;Tiempo
35;29.479;Tiempo
36;21.32;Tiempo
37;27.349;Tiempo
38;29.939;Tiempo
39;29.352;Tiempo
40;29.275;Tiempo
41;27.766;Tiempo
42;28.622;Tiempo
43;28.208;Tiempo
44;29.714;Tiempo
45;28.158;Tiempo
46;27.342;Tiempo
47;29.416;Tiempo
48;29.354;Tiempo
49;29.852;Tiempo
50;27.108;Tiempo
51;29.278;Tiempo
52;29.85;Tiempo
53;28.709;Tiempo
54;27.755;Tiempo
55;24.684;Tiempo
56;29.755;Tiempo
57;27.802;Tiempo
58;28.596;Tiempo
59;27.6;Tiempo
60;29.691;Tiempo
61;28.875;Tiempo
62;29.541;Tiempo
63;29.553;Tiempo
64;29.621;Tiempo
65;28.827;Tiempo
66;27.754;Tiempo
67;29.252;Tiempo
68;29.415;Tiempo
69;28.304;Tiempo
70;29.378;Tiempo
71;29.797;Tiempo
72;28.956;Tiempo
73;29.727;Tiempo
74;29.048;Tiempo
75;28.291;Tiempo
76;30.0;Tiempo
77;29.326;Tiempo
78;29.105;Tiempo
79;29.266;Tiempo
80;29.603;Tiempo
81;29.061;Tiempo
82;27.79;Tiempo
83;29.638;Tiempo
84;21.004;Tiempo
85;26.934;Tiempo
86;27.294;Tiempo
87;27.184;Tiempo
88;28.953;Tiempo
89;29.13;Tiempo
90;30.998;Tiempo
91;27.206;Tiempo
92;27.691;Tiempo
93;29.737;Tiempo
94;29.688;Tiempo
95;30.0;Tiempo
96;27.356;Tiempo
97;29.928;Tiempo
98;26.482;Tiempo
99;29.132;Tiempo
100;26.886;Tiempo
101;29.109;Tiempo
102;29.245;Tiempo
103;27.037;Tiempo
104;29.524;Tiempo
105;29.282;Tiempo
106;27.633;Tiempo
107;29.179;Tiempo
108;29.382;Tiempo
109;25.918;Tiempo
110;28.75;Tiempo
111;28.876;Tiempo
112;29.843;Tiempo
113;28.787;Tiempo
114;28.734;Tiempo
115;29.543;Tiempo
116;28.69;Tiempo
117;26.973;Tiempo
118;27.086;Tiempo
119;29.628;Tiempo
120;29.848;Tiempo
121;29.777;Tiempo
122;25.85;Tiempo
123;29.857;Tiempo
124;28.595;Tiempo
125;29.929;Tiempo
126;28.123;Tiempo
127;29.372;Tiempo
128;29.903;Tiempo
129;28.972;Tiempo
130;29.411;Tiempo
131;29.359;Tiempo
132;30.785;Tiempo
133;29.69;Tiempo
134;29.926;Tiempo
135;29.728;Tiempo
136;29.507;Tiempo
137;29.788;Tiempo
138;29.519;Tiempo
139;28.565;Tiempo
140;28.118;Tiempo
141;29.431;Tiempo
142;28.925;Tiempo
143;28.327;Tiempo
144;28.137;Tiempo
145;28.455;Tiempo
146;29.028;Tiempo
147;29.172;Tiempo
148;29.49;Tiempo
149;29.497;Tiempo
150;29.604;Tiempo
151;29.821;Tiempo
152;28.806;Tiempo
153;29.632;Tiempo
154;26.957;Tiempo
155;29.498;Tiempo
156;30.0;Tiempo
157;29.744;Tiempo
158;29.786;Tiempo
159;28.85;Tiempo
160;29.257;Tiempo
161;29.796;Tiempo
162;27.85;Tiempo
163;26.952;Tiempo
164;29.607;Tiempo
165;29.502;Tiempo
166;29.781;Tiempo
167;28.929;Tiempo
168;27.749;Tiempo
169;25.17;Tiempo
170;28.267;Tiempo
171;30.261;Tiempo
172;29.02;Tiempo
173;29.591;Tiempo
174;29.154;Tiempo
175;28.722;Tiempo
176;29.296;Tiempo
177;28.833;Tiempo
178;29.231;Tiempo
179;27.124;Tiempo
180;28.857;Tiempo
181;29.631;Tiempo
182;30.991;Tiempo
183;28.963;Tiempo
184;26.94;Tiempo
185;29.448;Tiempo
186;29.762;Tiempo
187;28.096;Tiempo
188;29.84;Tiempo
189;26.48;Tiempo
