Episodio;Perdida
20;14545.287
40;12359.873
60;10110.125
80;10463.898
100;10055.588
120;15402.106
140;17011.43
160;15298.444
180;13498.04
200;13340.741
220;14781.112
240;15877.701
260;11694.278
280;12479.703
300;12249.583
320;11915.949
340;12728.768
360;13842.716
380;10916.857
400;11227.83
420;10907.518
440;12854.495
460;10271.708
480;12444.948
500;11540.284
520;15299.678
540;202771.453
560;6991120.0
580;71488752.0
600;4998284.5
620;3411849.25
640;16684313.0
660;9351989.0
680;1683481.75
700;709500.219
720;491897.266
740;132502.148
760;156833.32
780;904548.031
800;3369700.875
820;145143472.0
840;3585247232.0
860;14199992.5
880;2456357.0
900;2648988.25
920;4181290.125
940;3977226.25
960;3667789.0
980;60232.682
1000;125278.742
